               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.019542,           0.0060564,                   0,             0.99811,                   1,               0.995,             0.85099,             0.01395,           0.0042155,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.016272,           0.0062762,                   0,             0.99512,                   1,               0.995,             0.84289,            0.013747,           0.0040497,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.017715,           0.0063863,                   0,             0.99756,                   1,               0.995,             0.80507,            0.016759,           0.0040634,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.017576,           0.0058638,                   0,             0.99763,                   1,               0.995,              0.8632,            0.012582,           0.0041316,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.018136,           0.0064768,                   0,             0.99699,                   1,               0.995,             0.83961,            0.013283,           0.0039086,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.018068,           0.0063352,                   0,             0.99806,                   1,               0.995,              0.8481,            0.014824,           0.0038897,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.017347,           0.0063618,                   0,              0.9983,                   1,               0.995,             0.84708,            0.013405,           0.0040263,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.018724,           0.0066233,                   0,             0.99659,                   1,               0.995,             0.86542,             0.01393,           0.0043092,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.018635,           0.0062552,                   0,             0.99785,                   1,               0.995,             0.83954,            0.016181,           0.0042018,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.018343,            0.006534,                   0,             0.99787,                   1,               0.995,             0.85946,            0.013901,           0.0043025,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.017949,           0.0066457,                   0,             0.99765,                   1,               0.995,             0.83264,            0.014635,           0.0040632,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.017822,            0.006696,                   0,              0.9973,                   1,               0.995,             0.82119,            0.015561,           0.0042365,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.019533,           0.0067677,                   0,              0.9976,                   1,               0.995,             0.87873,             0.01325,           0.0038992,                   0,            0.007624,            0.007624,            0.007624
                  74,             0.01533,            0.005948,                   0,             0.99789,                   1,               0.995,             0.87454,            0.012726,           0.0039075,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.015674,           0.0063109,                   0,             0.99743,                   1,               0.995,             0.88898,            0.011865,           0.0037383,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.017477,           0.0061278,                   0,             0.99789,                   1,               0.995,             0.86238,            0.013726,           0.0037789,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.017359,           0.0061935,                   0,             0.99737,                   1,               0.995,              0.8684,             0.01395,           0.0040305,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.015433,           0.0057741,                   0,             0.99803,                   1,               0.995,             0.88912,            0.011999,           0.0036093,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.016191,           0.0061339,                   0,             0.99799,                   1,               0.995,             0.86925,            0.012238,           0.0036807,                   0,            0.007426,            0.007426,            0.007426
                  80,             0.01748,           0.0059118,                   0,             0.99807,                   1,               0.995,             0.88833,            0.012437,           0.0037927,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.016571,           0.0061066,                   0,             0.99799,                   1,               0.995,             0.86137,            0.012801,           0.0036778,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.016246,           0.0061408,                   0,             0.99792,                   1,               0.995,             0.89166,            0.011641,             0.00363,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.015919,           0.0059391,                   0,              0.9981,                   1,               0.995,             0.87835,            0.011871,           0.0036274,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.017424,           0.0063321,                   0,             0.99807,                   1,               0.995,             0.85904,            0.012815,           0.0036006,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.016365,           0.0058407,                   0,             0.99796,                   1,               0.995,             0.87023,            0.012725,           0.0037425,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.016093,           0.0057371,                   0,             0.99791,                   1,               0.995,             0.87071,            0.012549,           0.0036352,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.014324,           0.0057316,                   0,             0.99821,                   1,               0.995,             0.88697,            0.012619,           0.0037752,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.016404,           0.0058387,                   0,             0.99037,                   1,               0.995,             0.85775,            0.013154,           0.0038488,                   0,            0.007129,            0.007129,            0.007129
                  89,             0.01676,            0.005915,                   0,             0.99621,                   1,               0.995,             0.87051,            0.012489,           0.0039448,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.016674,           0.0061142,                   0,             0.99815,                   1,               0.995,             0.86399,             0.01358,           0.0037758,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.016987,           0.0064894,                   0,             0.99812,                   1,               0.995,              0.8817,            0.013532,           0.0038012,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.016507,           0.0058742,                   0,             0.99772,                   1,               0.995,             0.84394,            0.013406,           0.0038219,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.017312,           0.0059173,                   0,             0.99793,                   1,               0.995,             0.87821,            0.012543,           0.0037604,                   0,            0.006964,            0.006964,            0.006964
                  94,             0.01449,           0.0056943,                   0,             0.99808,                   1,               0.995,             0.86612,            0.012407,           0.0038199,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.013918,            0.005237,                   0,              0.9978,                   1,               0.995,             0.86602,            0.012384,           0.0038446,                   0,            0.006898,            0.006898,            0.006898
                  96,             0.01675,           0.0057674,                   0,             0.99806,                   1,               0.995,             0.87987,            0.011653,           0.0037607,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.016765,           0.0062936,                   0,             0.99772,                   1,               0.995,             0.85708,            0.012527,           0.0037821,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.014939,           0.0056363,                   0,             0.99766,                   1,               0.995,             0.85573,              0.0121,            0.004188,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.015148,           0.0060476,                   0,             0.99805,                   1,               0.995,             0.86428,             0.01224,           0.0039622,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.016607,           0.0055961,                   0,             0.99803,                   1,               0.995,              0.8677,            0.012794,           0.0040764,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.016528,           0.0055418,                   0,              0.9979,                   1,               0.995,              0.8509,            0.012876,           0.0039042,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.015568,           0.0060232,                   0,             0.99812,                   1,               0.995,             0.87917,            0.012671,           0.0038119,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.016045,           0.0057675,                   0,              0.9982,                   1,               0.995,             0.86711,            0.012685,            0.003937,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.015819,           0.0059145,                   0,             0.99823,                   1,               0.995,             0.88692,            0.011325,           0.0037722,                   0,            0.006601,            0.006601,            0.006601
